District,Year,Month,Rainfall,Inflow From Other States,Consumption,Irrigation,Industry,Domestic,Built-Up,Agricultural,Forest,WasteLands,Wetlands,Waterbodies
3,2024,1,0.05,31.55,5.81,5.07,0.00,0.74,454.09,13415.04,1795.39,2387.63,0.14,1042.67
3,2024,2,0.00,23.73,6.00,5.30,0.00,0.69,454.09,13415.04,1795.39,2387.63,0.14,1042.67
3,2024,3,0.00,23.57,7.37,6.63,0.00,0.74,454.09,13415.04,1795.39,2387.63,0.14,1042.67
3,2024,4,0.27,17.80,1.29,0.58,0.00,0.72,454.09,13415.04,1795.39,2387.63,0.14,1042.67
3,2024,5,37.80,13.08,1.22,0.47,0.00,0.74,454.09,13415.04,1795.39,2387.63,0.14,1042.67
3,2023,6,18.85,20.83,1.70,0.98,0.00,0.72,450.99,13416.96,1796.17,2391.48,0.14,1040.94
3,2024,6,57.80,25.05,1.27,0.55,0.00,0.72,454.09,13415.04,1795.39,2387.63,0.14,1042.67
3,2023,7,28.66,1294.56,1.56,0.82,0.00,0.74,450.99,13416.96,1796.17,2391.48,0.14,1040.94
3,2024,7,11.25,1703.86,1.33,0.59,0.00,0.74,454.09,13415.04,1795.39,2387.63,0.14,1042.67
3,2023,8,9.02,664.47,1.38,0.64,0.00,0.74,450.99,13416.96,1796.17,2391.48,0.14,1040.94
3,2024,8,69.72,1836.10,30.21,29.47,0.00,0.74,454.09,13415.04,1795.39,2387.63,0.14,1042.67
3,2023,9,52.39,1005.36,14.77,14.05,0.00,0.72,450.99,13416.96,1796.17,2391.48,0.14,1040.94
3,2024,9,23.15,1784.60,17.22,16.50,0.00,0.72,454.09,13415.04,1795.39,2387.63,0.14,1042.67
3,2023,10,2.99,219.07,4.90,4.16,0.00,0.74,450.99,13416.96,1796.17,2391.48,0.14,1040.94
3,2024,10,63.32,543.97,21.25,20.50,0.00,0.74,454.09,13415.04,1795.39,2387.63,0.14,1042.67
3,2023,11,8.42,25.45,6.07,5.35,0.00,0.72,450.99,13416.96,1796.17,2391.48,0.14,1040.94
3,2023,12,2.20,53.20,5.94,5.20,0.00,0.74,450.99,13416.96,1796.17,2391.48,0.14,1040.94
6,2024,1,3.41,31.55,36.70,35.38,0.62,0.71,461.52,7704.05,4257.10,1870.90,1887.44,729.88
6,2024,2,0.00,23.73,7.85,6.61,0.58,0.66,461.52,7704.05,4257.10,1870.90,1887.44,729.88
6,2024,4,0.00,17.80,1.56,0.27,0.60,0.68,461.52,7704.05,4257.10,1870.90,1887.44,729.88
6,2023,6,22.21,20.83,1.56,0.28,0.60,0.68,456.47,7701.09,4257.41,1878.00,1893.71,729.35
6,2024,6,43.55,25.05,1.53,0.24,0.60,0.68,461.52,7704.05,4257.10,1870.90,1887.44,729.88
6,2023,7,18.00,1294.56,6.69,5.36,0.62,0.71,456.47,7701.09,4257.41,1878.00,1893.71,729.35
6,2024,7,22.95,1703.86,6.71,5.38,0.62,0.71,461.52,7704.05,4257.10,1870.90,1887.44,729.88
6,2023,9,59.96,1005.36,32.18,30.90,0.60,0.68,456.47,7701.09,4257.41,1878.00,1893.71,729.35
6,2024,9,23.62,1784.60,11.18,9.89,0.60,0.68,461.52,7704.05,4257.10,1870.90,1887.44,729.88
6,2023,10,12.22,219.07,30.08,28.76,0.62,0.71,456.47,7701.09,4257.41,1878.00,1893.71,729.35
6,2024,10,52.60,543.97,6.62,5.30,0.62,0.71,461.52,7704.05,4257.10,1870.90,1887.44,729.88
6,2023,12,30.68,53.20,33.18,31.85,0.62,0.71,456.47,7701.09,4257.41,1878.00,1893.71,729.35
7,2024,2,0.00,23.73,32.27,30.97,0.51,0.80,524.71,6198.63,4974.02,279.15,146.58,861.26
7,2024,3,1.16,23.57,33.05,31.65,0.54,0.85,524.71,6198.63,4974.02,279.15,146.58,861.26
7,2024,4,0.00,17.80,21.42,20.07,0.53,0.82,524.71,6198.63,4974.02,279.15,146.58,861.26
7,2024,5,432.43,13.08,40.39,27.09,4.96,8.34,524.71,6198.63,4974.02,279.15,146.58,861.26
7,2023,6,379.46,20.83,82.45,69.58,4.80,8.07,523.18,6198.07,4975.17,279.72,146.84,861.29
7,2024,6,905.03,25.05,66.46,53.60,4.80,8.07,524.71,6198.63,4974.02,279.15,146.58,861.26
7,2023,7,981.17,1294.56,200.71,187.41,4.96,8.34,523.18,6198.07,4975.17,279.72,146.84,861.29
7,2024,7,1003.14,1703.86,135.80,122.50,4.96,8.34,524.71,6198.63,4974.02,279.15,146.58,861.26
7,2023,8,445.45,664.47,301.07,287.77,4.96,8.34,523.18,6198.07,4975.17,279.72,146.84,861.29
7,2024,8,22.45,1836.10,37.50,36.11,0.54,0.85,524.71,6198.63,4974.02,279.15,146.58,861.26
7,2023,9,14.33,1005.36,42.73,41.38,0.53,0.82,523.18,6198.07,4975.17,279.72,146.84,861.29
7,2024,9,19.83,1784.60,30.69,29.34,0.53,0.82,524.71,6198.63,4974.02,279.15,146.58,861.26
7,2023,10,0.98,219.07,47.39,45.99,0.54,0.85,523.18,6198.07,4975.17,279.72,146.84,861.29
7,2024,10,10.64,543.97,36.21,34.82,0.54,0.85,524.71,6198.63,4974.02,279.15,146.58,861.26
7,2023,11,0.98,219.07,47.39,45.99,0.54,0.85,523.18,6198.07,4975.17,279.72,146.84,861.29
7,2024,11,10.64,543.97,36.21,34.81,0.54,0.85,524.71,6198.63,4974.02,279.15,146.58,861.26
7,2023,12,21.15,53.20,24.50,23.10,0.54,0.85,523.18,6198.07,4975.17,279.72,146.84,861.29
9,2024,1,0.01,31.55,36.25,35.41,0.04,0.80,561.89,8236.04,1566.24,483.46,25.24,524.56
9,2024,2,0.00,23.73,11.33,10.54,0.04,0.75,561.89,8236.04,1566.24,483.46,25.24,524.56
9,2024,4,0.16,17.80,9.04,8.23,0.04,0.78,561.89,8236.04,1566.24,483.46,25.24,524.56
9,2023,6,9.74,20.83,22.13,21.31,0.04,0.78,558.97,8235.02,1565.92,486.21,26.17,524.49
9,2024,6,15.39,25.05,0.82,0.00,0.04,0.78,561.89,8236.04,1566.24,483.46,25.24,524.56
9,2023,7,26.61,1294.56,32.76,31.92,0.04,0.80,558.97,8235.02,1565.92,486.21,26.17,524.49
9,2024,7,20.15,1703.86,9.93,9.09,0.04,0.80,561.89,8236.04,1566.24,483.46,25.24,524.56
9,2023,9,17.22,1005.36,15.65,14.84,0.04,0.78,558.97,8235.02,1565.92,486.21,26.17,524.49
9,2024,9,25.95,1784.60,59.74,58.93,0.04,0.78,561.89,8236.04,1566.24,483.46,25.24,524.56
9,2023,10,2.21,219.07,17.48,16.64,0.04,0.80,558.97,8235.02,1565.92,486.21,26.17,524.49
9,2024,10,13.83,543.97,74.47,73.63,0.04,0.80,561.89,8236.04,1566.24,483.46,25.24,524.56
9,2023,12,14.36,53.20,16.76,15.92,0.04,0.80,558.97,8235.02,1565.92,486.21,26.17,524.49
13,2024,1,12.61,31.55,222.34,209.03,4.96,8.34,587.19,6674.47,629.62,142.24,203.33,517.15
13,2024,2,0.53,23.73,147.59,135.15,4.64,7.80,587.19,6674.47,629.62,142.24,203.33,517.15
13,2024,4,13.86,17.80,77.10,64.23,4.80,8.07,587.19,6674.47,629.62,142.24,203.33,517.15
13,2023,6,379.46,20.83,82.45,69.58,4.80,8.07,581.22,6673.35,629.02,142.95,208.68,516.70
